HomeTeam,AwayTeam,Winner,Correct,Quota
Lakers,Cavaliers,Away,1,1.4
Raptors,Bulls,Home,1,1.66
Grizzlies,Wizards,Home,1,1.30
Clippers,Jazz,Away,1,2.30
Hornets,Wizards,Away,0,1.68
Magic,Rockets,Away,0,1.5
Pistons,Thunder,Home,0,1.85
Pacers,Pelicans,Home,0,1.48
Sixers,Suns,Home,0,1.68
Hawks,Bucks,Home,0,2.4
Heat,Blazers,Away,0,1.34
Bulls,Raptors,Home,1,1.72
Grizzlies,Celtics,Away,0,2.35
Timberwolves,Knicks,Away,0,1.72
Spurs,Nuggets,Away,1,1.34
Mavericks,Nets,Home,0,2.9
Warriors,Kings,Home,1,1.32
Jazz,Lakers,Home,1,1.42
Clippers,Cavaliers,Home,0,1.54
Magic,Mavericks,Home,1,4.5
Thunder,Bucks,Away,1,1.8
Hornets,Blazers,Home,0,2.05
Pacers,Nuggets,Away,1,1.45
Hawks,Jazz,Home,0,1.52
Celtics,Pistons,Home,1,1.08
Nets,Knicks,Home,1,1.62
Raptors,Rockets,Home,1,1.18
Bulls,Pelicans,Away,1,1.85
Timberwolves,Suns,Home,0,1.80
Spurs,Grizzlies,Home,1,2.7
Clippers,Lakers,Home,1,1.64
Kings,Cavaliers,Home,0,1.58
Wizards,Mavericks,Home,1,2.9
Hawks,Sixers,Home,1,1.88
Heat,Hornets,Home,1,1.16
Pelicans,Blazers,Home,0,1.26
Celtics,Nuggets,Away,0,2.55
Magic,Suns,Away,0,1.34
Knicks,Pistons,Home,1,1.3
Spurs,Bucks,Home,,1.75
Thunder,Raptors,Away,0,1.5
Grizzlies,Timberwolves,Home,1,1.58
Warriors,Cavaliers,Away,0,1.72
Lakers,Kings,Away,1,1.58
Wizards,Grizzlies,Home,1,1.85
Cavaliers,Timberwolves,Home,0,1.48
Sixers,Jazz,Away,0,2.4
Bulls,Nuggets,Away,1,1.75
Kings,Warriors,Away,0,1.56
Lakers,Nets,Away,0,1.54
Pelicans,Grizzlies,Home,1,1.74
Mavericks,Clippers,Away,0,3
Jazz,Knicks,Home,0,1.54
Kings,Nets,Home,1,1.85
Blazers,Spurs,Home,1,1.3
Hornets,Pacers,Away,1,2
Magic,Timberwolves,Away,1,1.35
Wizards,Thunder,Home,0,1.45
Hawks,Celtics,Away,1,1.84
Raptors,Heat,Away,0,2.15
Pelicans,Bulls,Home,1,1.78
Bucks,Cavaliers,Away,0,2.35
Mavericks,Rockets,Away,1,3
Nuggets,Knicks,Home,0,1.68
Suns,Warriors,Away,0,1.75
Wizards,Heat,Home,1,1.42
Cavaliers,Hornets,Home,1,1.24
Sixers,Bucks,Away,1,2
Grizzlies,Thunder,Home,1,1.42
Bulls,Magic,Home,0,1.3
Rockets,Pacers,Away,1,1.52
Mavericks,Nuggets,Away,0,4.25
Pelicans,Celtics,Home,0,2.15
Jazz,Suns,Home,1,2.1
Warriors,Knicks,Home,1,1.34
Lakers,Pistons,Home,1,1.34
Hawks,Raptors,Home,1,1.50
Pacers,Magic,Home,1,1.35
Sixers,Timberwolves,Away,1,1.56
Blazers,Jazz,Away,1,1.56
Clippers,Spurs,Away,0,4.25
Suns,Knicks,Home,1,1.4
Wizards,Hornets,Home,1,1.46
Kings,Pistons,Home,1,1.24
Cavaliers,Heat,Home,1,1.22
Rockets,Warriors,Away,1,1.24
Nets,Grizzlies,Home,1,1.34
Mavericks,Nuggets,Away,1,4.5
Lakers,Spurs,Away,0,3.1
Cavaliers,Hawks,Home,1,1.72
Pacers,Magic,Home,1,1.38
Timberwolves,Heat,Home,1,1.32
Pelicans,Warriors,Home,1,1.5
Bulls,Celtics,Away,0,1.42
Thunder,Knicks,Home,0,1.72
Bucks,Blazers,Home,1,1.26
Clippers,Jazz,Away,0,2.3
Sixers,Nets,Away,0,1.32
Grizzlies,Kings,Away,1,1.92
Nuggets,Pistons,Home,0,1.36
Suns,Lakers,Home,1,1.34
Cavaliers,Blazers,Home,1,1.32
Hornets,Sixers,Away,0,2.5
Pacers,Timberwolves,Home,0,2
Hawks,Kings,Away,0,2.5
Celtics,Mavericks,Home,1,1.38
Heat,Wizards,Away,0,2.1
Raptors,Nets,Away,1,1.7
Thunder,Nuggets,Away,1,1.92
Spurs,Pelicans,Away,1,1.35
Bucks,Bulls,Away,1,3.1
Jazz,Pistons,Home,0,1.14
Warriors,Clippers,Home,1,1.22
Hornets,Timberwolves,Away,,1.5










